message,subject,complaint_text,intent,category
"Strict measures have to be taken so that Supplier ensure right product delivery, to avoid wastage of time and overall Shopzilla reputation",,"Strict measures have to be taken so that Supplier ensure right product delivery, to avoid wastage of time and overall Shopzilla reputation",Order status enquiry,DELIVERY_SHIPPING_PROBLEM
plz solve,,plz solve,Wrong,PRODUCT_ISSUE
Bad information,,Bad information,Installation/demo,PRODUCT_ISSUE
Setisfied,,Setisfied,Installation/demo,PRODUCT_ISSUE
Very good help,,Very good help,Return request,REFUND_REQUEST
The lady was rude and wanted to get rid of the call somehow. Poor communication skills. Didn't let me finish explaining my issue. Never purchasing from Shopzilla again!,,The lady was rude and wanted to get rid of the call somehow. Poor communication skills. Didn't let me finish explaining my issue. Never purchasing from Shopzilla again!,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Excellent customer support provider,,Excellent customer support provider,Fraudulent User,SECURITY_CONCERN
Thanku team Shopzilla,,Thanku team Shopzilla,Not Needed,REFUND_REQUEST
Good in all respects.,,Good in all respects.,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
?????? ?? ???? ?????? ?? ????? ??????? ?? ??? ??? ?? ??? ?? ?????? ????? ????? ????? ???? ?????????? ?? ???? ?? ?????? ?? ????? ??? ?? ??? ????? ??? ???? ?????? ???? ??? ???? ???????????? ???? ?? ??? ??? ?? ?? ???? ??????? ??????? ?? ???? ?????? ????? ?? ???? ?? ?? ????? ?? ???? ??? ?? ???????? ????? ???? ??? ???? ?? ???? ??? ?? ???? ??? ?? ????? ??? ?? ??? ?????? ???? ???? ?????? ?????? ???? ???? ?? ??????? ??????? ??? ??? ?? ?????? ?? ????? ?????????? ?? ???? ??? ???? ?? ???? ???????? ????? ?? ????? ??? ?? ?????? ?? ??? ?? ?????? ????? ???? ??? ?? ???? ???? ???? ?? ??????? ?? ?? ???? ?? ?? ??? ???? ????? ?????? ?? ?? ??? ??? ???? ?????? ?? ?????? ?? ???? ??? ?????? ?? ???-??? ??? ?? ???? ????,,?????? ?? ???? ?????? ?? ????? ??????? ?? ??? ??? ?? ??? ?? ?????? ????? ????? ????? ???? ?????????? ?? ???? ?? ?????? ?? ????? ??? ?? ??? ????? ??? ???? ?????? ???? ??? ???? ???????????? ???? ?? ??? ??? ?? ?? ???? ??????? ??????? ?? ???? ?????? ????? ?? ???? ?? ?? ????? ?? ???? ??? ?? ???????? ????? ???? ??? ???? ?? ???? ??? ?? ???? ??? ?? ????? ??? ?? ??? ?????? ???? ???? ?????? ?????? ???? ???? ?? ??????? ??????? ??? ??? ?? ?????? ?? ????? ?????????? ?? ???? ??? ???? ?? ???? ???????? ????? ?? ????? ??? ?? ?????? ?? ??? ?? ?????? ????? ???? ??? ?? ???? ???? ???? ?? ??????? ?? ?? ???? ?? ?? ??? ???? ????? ?????? ?? ?? ??? ??? ???? ?????? ?? ?????? ?? ???? ??? ?????? ?? ???-??? ??? ?? ???? ????,General Enquiry,OTHER
Excutive friendly,,Excutive friendly,Return request,REFUND_REQUEST
Please get the correct product with less time,,Please get the correct product with less time,Return request,REFUND_REQUEST
Ok,,Ok,General Enquiry,OTHER
Hope this issue is resolved quickly.,,Hope this issue is resolved quickly.,Shopzila Premium Related,SUBSCRIPTION_ISSUE
Nice,,Nice,Installation/demo,PRODUCT_ISSUE
"Very tough to reach customer care, too much waiting. Asks time to hold, take too much time. Finally, ask to wait. Issue is not solved, just postpone.",,"Very tough to reach customer care, too much waiting. Asks time to hold, take too much time. Finally, ask to wait. Issue is not solved, just postpone.",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Customer care mam is very sweet and she resolve my problem quickly and I loved the way she talk to customer ????????????,,Customer care mam is very sweet and she resolve my problem quickly and I loved the way she talk to customer ????????????,Return request,REFUND_REQUEST
Who the hell call someone in mid night. It was related to delivery address change and as per him it it not possible.,,Who the hell call someone in mid night. It was related to delivery address change and as per him it it not possible.,Customer Requested Modifications,DELIVERY_SHIPPING_PROBLEM
Nice to talk with him he is a helping person,,Nice to talk with him he is a helping person,Signup Issues,ACCOUNT_LOGIN_PROBLEM
Dear  for ur efforts for solving problem &solutions reguard any words and problem hence we prove u are the best,,Dear for ur efforts for solving problem &solutions reguard any words and problem hence we prove u are the best,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Best service,,Best service,Fraudulent User,SECURITY_CONCERN
Good,,Good,Delayed,DELIVERY_SHIPPING_PROBLEM
Customer care executive is really really good.The issue with the Return is resolved,,Customer care executive is really really good.The issue with the Return is resolved,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
No response from support,,No response from support,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Please check the product and accessories before packing the product.,,Please check the product and accessories before packing the product.,Return request,REFUND_REQUEST
Very bad sarvice .demo and fitting,,Very bad sarvice .demo and fitting,Installation/demo,PRODUCT_ISSUE
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Bed experience,,Bed experience,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks ??,,Thanks ??,Installation/demo,PRODUCT_ISSUE
Thanks for help me.,,Thanks for help me.,Fraudulent User,SECURITY_CONCERN
"The customer support executive spoke well I liked it, the conversation was good, and thanks for helping me, I waited for it since 2 days..",,"The customer support executive spoke well I liked it, the conversation was good, and thanks for helping me, I waited for it since 2 days..",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Fraudulent User,SECURITY_CONCERN
Nice,,Nice,UnProfessional Behaviour,SERVICE_QUALITY
Good,,Good,Missing,PRODUCT_ISSUE
good,,good,Return request,REFUND_REQUEST
Good,,Good,Missing,PRODUCT_ISSUE
The executive was polite and gave me proper time and information regarding my order,,The executive was polite and gave me proper time and information regarding my order,Product Specific Information,PRODUCT_ISSUE
Excellent,,Excellent,Return request,REFUND_REQUEST
"No feedback, everything is customer centric.",,"No feedback, everything is customer centric.",Order Verification,DELIVERY_SHIPPING_PROBLEM
Good service,,Good service,Delayed,DELIVERY_SHIPPING_PROBLEM
Very good support,,Very good support,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Worst,,Worst,Installation/demo,PRODUCT_ISSUE
my ear buds not charging my email I'd,,my ear buds not charging my email I'd,Installation/demo,PRODUCT_ISSUE
really polite and got good manners,,really polite and got good manners,Return request,REFUND_REQUEST
Thnks to Shopzilla customer care executive,,Thnks to Shopzilla customer care executive,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thnx,,Thnx,Return request,REFUND_REQUEST
Good,,Good,Damaged,PRODUCT_ISSUE
Thanks   for your help. You have been amazing. Cheers for day.??????,,Thanks for your help. You have been amazing. Cheers for day.??????,Return request,REFUND_REQUEST
Ok,,Ok,Installation/demo,PRODUCT_ISSUE
They did not ready to understand customer problem they only saying sorry sorry not anything else.totally wastage of time.,,They did not ready to understand customer problem they only saying sorry sorry not anything else.totally wastage of time.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Only given dispute product to the customer,,Only given dispute product to the customer,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good work keep it up,,Good work keep it up,Return cancellation,REFUND_REQUEST
Need to improve in delevery partner channnal worst service,,Need to improve in delevery partner channnal worst service,Delayed,DELIVERY_SHIPPING_PROBLEM
Thanks,,Thanks,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Utter waste to buy goods in Shopzilla,,Utter waste to buy goods in Shopzilla,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
C O O L,,C O O L,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Worst service,,Worst service,Delayed,DELIVERY_SHIPPING_PROBLEM
Customer care executive was very very polite and helpful.. he also addressed my issue very effectively!,,Customer care executive was very very polite and helpful.. he also addressed my issue very effectively!,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Nice,,Nice,Return request,REFUND_REQUEST
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"I am happy with the help of customers representative, he was very polite, good knowledgeable of things, problem solving attitude, overall good person.  Good job ????",,"I am happy with the help of customers representative, he was very polite, good knowledgeable of things, problem solving attitude, overall good person. Good job ????",Return request,REFUND_REQUEST
Issue for 1 pkt missing but consultant raise return request I don't understand what happened,,Issue for 1 pkt missing but consultant raise return request I don't understand what happened,Fraudulent User,SECURITY_CONCERN
Good help i m happy jinse baat   sbhi log khus rhy,,Good help i m happy jinse baat sbhi log khus rhy,Return request,REFUND_REQUEST
Choose better delivery partner,,Choose better delivery partner,Exchange / Replacement,PRODUCT_ISSUE
bad costumer support,,bad costumer support,Card/EMI,PAYMENT_TRANSACTION_ISSUE
Customer service executive is very professional and Helpful Thank you,,Customer service executive is very professional and Helpful Thank you,Return request,REFUND_REQUEST
problem not solved,,problem not solved,Installation/demo,PRODUCT_ISSUE
Bed product,,Bed product,Installation/demo,PRODUCT_ISSUE
Comfortable,,Comfortable,Installation/demo,PRODUCT_ISSUE
Good ??,,Good ??,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
** off,,** off,Delayed,DELIVERY_SHIPPING_PROBLEM
To good,,To good,Installation/demo,PRODUCT_ISSUE
Worst team,,Worst team,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Pathetic customer service from Shopzilla. They can't even handle a small issue. Poor Shopzilla. This is my last deal with you guys.,,Pathetic customer service from Shopzilla. They can't even handle a small issue. Poor Shopzilla. This is my last deal with you guys.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Refund Enquiry,REFUND_REQUEST
???? ????? ????? ?????? ???  ???? ???? ???????,,???? ????? ????? ?????? ??? ???? ???? ???????,Missing,PRODUCT_ISSUE
The delivery boy must not be rude to the customer as he is also being paid by Shopzilla. And it's our order we will decide whether to cancel or not. Delivery agent must be reach at our own mentioned address.,,The delivery boy must not be rude to the customer as he is also being paid by Shopzilla. And it's our order we will decide whether to cancel or not. Delivery agent must be reach at our own mentioned address.,UnProfessional Behaviour,SERVICE_QUALITY
Right??????,,Right??????,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
ok,,ok,Return request,REFUND_REQUEST
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Return request,REFUND_REQUEST
"Very poor ownership shown by Anshul and Himani , they were just like , sir we have provided you the time till today just wait as duck and that's all she said.Very unprofessional behaviour from ansul as he don't have manners to greet people,",,"Very poor ownership shown by Anshul and Himani , they were just like , sir we have provided you the time till today just wait as duck and that's all she said.Very unprofessional behaviour from ansul as he don't have manners to greet people,",Product Specific Information,PRODUCT_ISSUE
Customer care reaching is very tuff please make easy.very very difficult.,,Customer care reaching is very tuff please make easy.very very difficult.,Return request,REFUND_REQUEST
"I have multiple issues with the product  "" ordered on 02-08-2023 and delivered to me on 07-08-2023 as follows:- 1) the product is not as shown in the photos on Shopzilla app Page2) the product is shorter than the dimensions mentioned on the app Page.3) the quality of the product is very poor and the thread count is very low the bedsheet is thin and like a net.When I called the customer service on Shopzilla on 09-08-2023 and mentioned the above problems and requested for a return and refund,the executive was not at all able to solve my issue. I faced the following problems during my call with the executive:-1) she was not able to communicate effectively either in Hindi or in English, nor did she understand my issue.2) instead of raising a return and refund request, she raised a replacement request by default WITHOUT MY CONSENT, and when I asked her why she did so, she said that I will have to cancel the replacement on my own and then again call the customer care for placing return request.3) more than one hour of my precious time was wasted during this single call, and I did not receive any assistance. I was unnecessarily harassed and my issue was not resolved.4) because of this I am left with this totally unacceptable product, and cannot raise a return request.Such unprofessional and unethical behaviour on the part of a reputed website like Shopzilla is not at all acceptable. I am very disappointed and exhausted with trying to get a return and refund, when it is clearly promised on the product page on Shopzilla for this particular item, and when I am within the return period.I am sorry to state that I will not consider Shopzilla for any further buying in future, and will resort to buying from other reliable websites like SuperBuy or Reliance.Thank you for such a bad experience on Shopzilla.Regards,Extremely disappointed Long time Shopzilla Plus Customer.",,"I have multiple issues with the product "" ordered on 02-08-2023 and delivered to me on 07-08-2023 as follows:- 1) the product is not as shown in the photos on Shopzilla app Page2) the product is shorter than the dimensions mentioned on the app Page.3) the quality of the product is very poor and the thread count is very low the bedsheet is thin and like a net.When I called the customer service on Shopzilla on 09-08-2023 and mentioned the above problems and requested for a return and refund,the executive was not at all able to solve my issue. I faced the following problems during my call with the executive:-1) she was not able to communicate effectively either in Hindi or in English, nor did she understand my issue.2) instead of raising a return and refund request, she raised a replacement request by default WITHOUT MY CONSENT, and when I asked her why she did so, she said that I will have to cancel the replacement on my own and then again call the customer care for placing return request.3) more than one hour of my precious time was wasted during this single call, and I did not receive any assistance. I was unnecessarily harassed and my issue was not resolved.4) because of this I am left with this totally unacceptable product, and cannot raise a return request.Such unprofessional and unethical behaviour on the part of a reputed website like Shopzilla is not at all acceptable. I am very disappointed and exhausted with trying to get a return and refund, when it is clearly promised on the product page on Shopzilla for this particular item, and when I am within the return period.I am sorry to state that I will not consider Shopzilla for any further buying in future, and will resort to buying from other reliable websites like SuperBuy or Reliance.Thank you for such a bad experience on Shopzilla.Regards,Extremely disappointed Long time Shopzilla Plus Customer.",Return request,REFUND_REQUEST
Please solve the problem sir I have trsuted on Shopzilla,,Please solve the problem sir I have trsuted on Shopzilla,Delayed,DELIVERY_SHIPPING_PROBLEM
Please solve the issue as soon as possible.,,Please solve the issue as soon as possible.,Installation/demo,PRODUCT_ISSUE
Shopzilla service is very bad,,Shopzilla service is very bad,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Damaged,PRODUCT_ISSUE
Ok,,Ok,UnProfessional Behaviour,SERVICE_QUALITY
Good,,Good,Return request,REFUND_REQUEST
Thanks madam,,Thanks madam,Refund Enquiry,REFUND_REQUEST
my issue is no solved,,my issue is no solved,Product Specific Information,PRODUCT_ISSUE
Thanks,,Thanks,Wrong,PRODUCT_ISSUE
Thanks for customer care...??,,Thanks for customer care...??,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
thanks for support and i want 7 number of my product,,thanks for support and i want 7 number of my product,Product Specific Information,PRODUCT_ISSUE
Direct call to customers support old is gold,,Direct call to customers support old is gold,Return request,REFUND_REQUEST
Warranty issue pe dhyan dena,,Warranty issue pe dhyan dena,Service Centres Related,SERVICE_QUALITY
This woman is very very very very very very very very nice woman and she is very cute saound. Thanks felip  ??,,This woman is very very very very very very very very nice woman and she is very cute saound. Thanks felip ??,Return request,REFUND_REQUEST
Thanks,,Thanks,Refund Enquiry,REFUND_REQUEST
Simple,,Simple,Fraudulent User,SECURITY_CONCERN
"This is regarding nasher miles suitcase, I raised a request for return due to quality of the product but till 10th August my return request is not completed, I am disappoint with this kind of serivce and I didn't expect this from Shopzilla,As a very old customer of Shopzilla I dont expect this kind of things Shopzilla will do to with their customer.",,"This is regarding nasher miles suitcase, I raised a request for return due to quality of the product but till 10th August my return request is not completed, I am disappoint with this kind of serivce and I didn't expect this from Shopzilla,As a very old customer of Shopzilla I dont expect this kind of things Shopzilla will do to with their customer.",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Batane ke liye thanks,,Batane ke liye thanks,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Delivery agent is lazy and useless. But customer care agent is politely good.,,Delivery agent is lazy and useless. But customer care agent is politely good.,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Na,,Na,Refund Enquiry,REFUND_REQUEST
Best,,Best,Return cancellation,REFUND_REQUEST
Good service,,Good service,Return request,REFUND_REQUEST
Good,,Good,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good service,,Good service,Return request,REFUND_REQUEST
Good ??,,Good ??,Wrong,PRODUCT_ISSUE
They gave the wrong infi about delivery date and I unnecessarily sat at my office to get my order but I didn't get my order.,,They gave the wrong infi about delivery date and I unnecessarily sat at my office to get my order but I didn't get my order.,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Payment windows fails some times,,Payment windows fails some times,Product Specific Information,PRODUCT_ISSUE
I am very happy,,I am very happy,Return request,REFUND_REQUEST
I am very happy your customer support very good service,,I am very happy your customer support very good service,Installation/demo,PRODUCT_ISSUE
Nice,,Nice,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Im so happy to  with Shopzilla veri nice support my problem is solve,,Im so happy to with Shopzilla veri nice support my problem is solve,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Service in Bengali language should be provided.,,Service in Bengali language should be provided.,Service Centres Related,SERVICE_QUALITY
It's nice to talk with customer care,,It's nice to talk with customer care,Priority delivery,DELIVERY_SHIPPING_PROBLEM
Plzz apply COD cash on delivery,,Plzz apply COD cash on delivery,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks for help.,,Thanks for help.,General Enquiry,OTHER
there are so many problems in it ... there are so many bugs in it..,,there are so many problems in it ... there are so many bugs in it..,Refund Enquiry,REFUND_REQUEST
My all doubts are clear thanku,,My all doubts are clear thanku,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Time taking problem,,Time taking problem,Return request,REFUND_REQUEST
.,,.,Wrong,PRODUCT_ISSUE
Your system is very bad no need customer care waste of money,,Your system is very bad no need customer care waste of money,Delayed,DELIVERY_SHIPPING_PROBLEM
support very good.I'm happyBiggest thanks on Shopzilla.,,support very good.I'm happyBiggest thanks on Shopzilla.,Product Specific Information,PRODUCT_ISSUE
Proper solution please.....,,Proper solution please.....,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thnk u so much,,Thnk u so much,General Enquiry,OTHER
Delivery ki service acchi nahin hai sar,,Delivery ki service acchi nahin hai sar,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Not Needed,REFUND_REQUEST
Thanks for solving my query,,Thanks for solving my query,Return request,REFUND_REQUEST
Please tell me what people should do when they receive Garbage.,,Please tell me what people should do when they receive Garbage.,Return request,REFUND_REQUEST
Not problems solving,,Not problems solving,General Enquiry,OTHER
??? ??????,,??? ??????,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
I am very happy  with Shopzilla because he delivered  my  order in time to time and these is very good  about Shopzilla and also In exact address. Thank you.,,I am very happy with Shopzilla because he delivered my order in time to time and these is very good about Shopzilla and also In exact address. Thank you.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very good conversation,,Very good conversation,Refund Enquiry,REFUND_REQUEST
Good work Shopzilla u need more person as same as he He was great doing wellHe is working on quality not quantity ok u need more employees as same as he I just forgot his name but he was great,,Good work Shopzilla u need more person as same as he He was great doing wellHe is working on quality not quantity ok u need more employees as same as he I just forgot his name but he was great,Fraudulent User,SECURITY_CONCERN
It's a good talk between me & her,,It's a good talk between me & her,Not Needed,REFUND_REQUEST
Very very nice sir,,Very very nice sir,Refund Enquiry,REFUND_REQUEST
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good Behaviour,,Good Behaviour,Priority delivery,DELIVERY_SHIPPING_PROBLEM
Thanks ??,,Thanks ??,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Very nice,,Very nice,Return request,REFUND_REQUEST
Some backside part is different of my refrigerator.So I didn't like the product.Please add some real product picture.,,Some backside part is different of my refrigerator.So I didn't like the product.Please add some real product picture.,Product Specific Information,PRODUCT_ISSUE
When u ask for feedback from customer provide them local language don't impose English on us.,,When u ask for feedback from customer provide them local language don't impose English on us.,Missing,PRODUCT_ISSUE
One month have passed and customer support executive taken long time and today finally they are saying that you have to clear your paylater dues amount while I have already paid and details also shared. Very bad experience.and I am unable to place new order also because it's got cancelled .,,One month have passed and customer support executive taken long time and today finally they are saying that you have to clear your paylater dues amount while I have already paid and details also shared. Very bad experience.and I am unable to place new order also because it's got cancelled .,General Enquiry,OTHER
Take less time,,Take less time,Return request,REFUND_REQUEST
If product is not satisfied the return policy is only for replacement and it makes customer unhappy and other companies have good return policy so please take care of this,,If product is not satisfied the return policy is only for replacement and it makes customer unhappy and other companies have good return policy so please take care of this,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Worst Delivery Agent who stole my product and worst customer care support.,,Worst Delivery Agent who stole my product and worst customer care support.,Delayed,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Return request,REFUND_REQUEST
Customer Service,,Customer Service,Delayed,DELIVERY_SHIPPING_PROBLEM
No,,No,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Very Very Very Un useless Coustmer Support of Shopzilla ????,,Very Very Very Un useless Coustmer Support of Shopzilla ????,Installation/demo,PRODUCT_ISSUE
"I hereby request you to send remaining (128-52=76) diaper pants as early as possible. You should improve your policy on such non returnable products, so that old and genuine customer should not suffer and stop buying from online platforms.     Please do the needful.",,"I hereby request you to send remaining (128-52=76) diaper pants as early as possible. You should improve your policy on such non returnable products, so that old and genuine customer should not suffer and stop buying from online platforms. Please do the needful.",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Customercare service are very poor they not solved my problem I have been request 3times but my problem still pending,,Customercare service are very poor they not solved my problem I have been request 3times but my problem still pending,Delayed,DELIVERY_SHIPPING_PROBLEM
"I had set my name and address during order and I got my delivery at given address but in the bill the name and address is changed, it's neither my fault nor delivery boy's, it's your(Shopzilla) fault. Now I want my name and address in my bill within 24 hours otherwise I will file a complaint against your service in court, I've all the evidence you know that's it's your fault so amend it within 24 hours. My details when I placed order, Krishna,Block-7,  , jintan road, surendranagar,363001",,"I had set my name and address during order and I got my delivery at given address but in the bill the name and address is changed, it's neither my fault nor delivery boy's, it's your(Shopzilla) fault. Now I want my name and address in my bill within 24 hours otherwise I will file a complaint against your service in court, I've all the evidence you know that's it's your fault so amend it within 24 hours. My details when I placed order, Krishna,Block-7, , jintan road, surendranagar,363001",Invoice request,BILLING_PROBLEM
I am happy to talk to customer care but please resolve my issue as soon as possible and take my product back.,,I am happy to talk to customer care but please resolve my issue as soon as possible and take my product back.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
My ear drop with charging problem,,My ear drop with charging problem,Installation/demo,PRODUCT_ISSUE
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,PayLater related,PAYMENT_TRANSACTION_ISSUE
Hp deskjet 2332,,Hp deskjet 2332,Account updation,ACCOUNT_LOGIN_PROBLEM
"I congratulate   on having such good customer support execs . He was really kind, professional, polite and understanding",,"I congratulate on having such good customer support execs . He was really kind, professional, polite and understanding",Installation/demo,PRODUCT_ISSUE
What is this secured packing charges? Don't take from customer,,What is this secured packing charges? Don't take from customer,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Nothing else but you unblock my pay later account.,,Nothing else but you unblock my pay later account.,Online Payment Issues,PAYMENT_TRANSACTION_ISSUE
Very very very gud service Shopzilla custmer suppport very gud  Explain very humble nature.,,Very very very gud service Shopzilla custmer suppport very gud Explain very humble nature.,Customer Requested Modifications,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
I want refund on my product.,,I want refund on my product.,Return request,REFUND_REQUEST
"Whatever product photos you put, please send it to the customer in the same way, otherwise, in your return policy, we are the people who are the person please.",,"Whatever product photos you put, please send it to the customer in the same way, otherwise, in your return policy, we are the people who are the person please.",Return request,REFUND_REQUEST
Ownership transfer to Smartphone,,Ownership transfer to Smartphone,Product Specific Information,PRODUCT_ISSUE
my issue is updated incorrectly,,my issue is updated incorrectly,Exchange / Replacement,PRODUCT_ISSUE
It was nice customer service...I'm happy that my problem has been resolved within a short of time.. !!,,It was nice customer service...I'm happy that my problem has been resolved within a short of time.. !!,Return request,REFUND_REQUEST
Good,,Good,Fraudulent User,SECURITY_CONCERN
Help,,Help,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Installation and demo was included in my product but   didn\u2019t provided . Please never by any product from Shopzilla.,,Installation and demo was included in my product but didn\u2019t provided . Please never by any product from Shopzilla.,Installation/demo,PRODUCT_ISSUE
Solve problems as soon as possible,,Solve problems as soon as possible,Product Specific Information,PRODUCT_ISSUE
Very late delivery,,Very late delivery,Delayed,DELIVERY_SHIPPING_PROBLEM
Nice,,Nice,Product Specific Information,PRODUCT_ISSUE
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"Do not fake promise to customer about delivery.provide mail id or grieveness redressal contact to customer for complaint. And yes your competitors is SuperBuy. And SuperBuy is no 1 in customer service and satisfaction. You, Shopzilla is kid compare to SuperBuy. Imreove one thing only - customer satisfaction",,"Do not fake promise to customer about delivery.provide mail id or grieveness redressal contact to customer for complaint. And yes your competitors is SuperBuy. And SuperBuy is no 1 in customer service and satisfaction. You, Shopzilla is kid compare to SuperBuy. Imreove one thing only - customer satisfaction",Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Shopzila Premium Related,SUBSCRIPTION_ISSUE
Not solve my problems still now,,Not solve my problems still now,Priority delivery,DELIVERY_SHIPPING_PROBLEM
There is no coordination between your delivery partner and Shopzilla.,,There is no coordination between your delivery partner and Shopzilla.,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
No clarity. Need to disconnect the call without any resolution.,,No clarity. Need to disconnect the call without any resolution.,Product Specific Information,PRODUCT_ISSUE
Good ??,,Good ??,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Fraudulent User,SECURITY_CONCERN
"This coustomer support is the best ever ...polite ,humble, ready to resolve with full effort.....10 star",,"This coustomer support is the best ever ...polite ,humble, ready to resolve with full effort.....10 star",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Pls try to mention service centre of warranty item code.on Shopzilla app or website,,Pls try to mention service centre of warranty item code.on Shopzilla app or website,Service Centres Related,SERVICE_QUALITY
Very very good,,Very very good,Delayed,DELIVERY_SHIPPING_PROBLEM
Audio quality was  poor,,Audio quality was poor,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Shopzilla support is really very good,,Shopzilla support is really very good,Return request,REFUND_REQUEST
Didn't get required response as customer care don't have the information,,Didn't get required response as customer care don't have the information,Delayed,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Kindly respond in quickly,,Kindly respond in quickly,Return request,REFUND_REQUEST
Osm.,,Osm.,Return request,REFUND_REQUEST
Thanks,,Thanks,Missing,PRODUCT_ISSUE
Thank you very much.I really appreciate your hard work,,Thank you very much.I really appreciate your hard work,General Enquiry,OTHER
The company should have refund policy,,The company should have refund policy,Return request,REFUND_REQUEST
Why delay delay and who is responsible person for delay product deliveryOnly waste timeShopzilla is a reputed company but inresponbleCustomer's time & product not valuable in your delivery and executive members,,Why delay delay and who is responsible person for delay product deliveryOnly waste timeShopzilla is a reputed company but inresponbleCustomer's time & product not valuable in your delivery and executive members,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
My issue not solved by customer care executive since a very long time.I did too effort for it.,,My issue not solved by customer care executive since a very long time.I did too effort for it.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Return request,REFUND_REQUEST
Thanks,,Thanks,Return request,REFUND_REQUEST
Not solved my issue,,Not solved my issue,Wrong,PRODUCT_ISSUE
Shopzilla started cheating with costumers. When my issue not solved between 13 Aug I go to consumer court.,,Shopzilla started cheating with costumers. When my issue not solved between 13 Aug I go to consumer court.,Technician Visit,PRODUCT_ISSUE
